Game Name,Launch Date,Price,Image,Description
Stellar Blade™,"11 Jun, 2025","₹4,799.00",https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/3489700/75914656cad450124a18fef914c5a5f4866ffb67/capsule_sm_120.jpg?t=1751868063,No description found
Grand Theft Auto V Enhanced,"4 Mar, 2025","₹2,499.00",https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/3240220/a318bd9affe8eee32984b18794b273c256e9b2d6/capsule_sm_120.jpg?t=1753974947,No description found
Torchlight: Infinite,"9 May, 2023",Free,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/1974050/c8648dca50ecc669b1ddacdbec6191763ede7305/capsule_sm_120.jpg?t=1753236534,"The fate of Ember Technology is in your hands. With abounding hero build possibilities, dive into an epic journey with endless loot, adrenaline-pumping fights & new seasonal contents."
R.E.P.O.,"26 Feb, 2025",₹480.00,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/3241660/28c1bb423e9af8646047e9e881c3a0ac121647f6/capsule_sm_120.jpg?t=1750949552,"An online co-op horror game with up to 6 players. Locate valuable, fully physics-based objects and handle them with care as you retrieve and extract to satisfy your creator's desires."
Wuthering Waves,"28 Apr, 2025",Free,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/3513350/a0d6f891d43e57b9ba2577faf75e5b1d3c681144/capsule_sm_120.jpg?t=1753312991,"Wuthering Waves is a story-rich open-world action RPG with a high degree of freedom. You wake from your slumber as Rover, joined by a vibrant cast of Resonators on a journey to reclaim your lost memories and change the world."
Magic: The Gathering Arena,"23 May, 2023",Free,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/2141910/capsule_sm_120.jpg?t=1749570015,"Magic: The Gathering Arena empowers you to discover your strategy, meet the planeswalkers, explore the multiverse, and battle friends around the world. Start playing for free, challenge your friends, unlock cards, and feel the magic of the original fantasy CCG!"
Cyberpunk 2077,"9 Dec, 2020","₹2,999.00",https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/1091500/56bc5c6d8d285e9a470a76b7c4d84f087686a556/capsule_sm_120_alt_assets_8.jpg?t=1753355628,No description found
Killing Floor 3,"24 Jul, 2025","₹1,600.00",https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/1430190/capsule_sm_120.jpg?t=1753910977,"It’s 2091 and megacorp Horzine has produced the ultimate army: an obedient horde of bioengineered monsters called zeds. Now, join the rebel group Nightfall in this co-op action/horror FPS that puts you and your teammates in a battle for the future of humanity."
F1® 25,"30 May, 2025","₹2,999.00",https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/3059520/e5a63913fdbb2b641e64fddee542ab4c946b21cd/capsule_sm_120.jpg?t=1753372584,"Leave your mark on the world of racing in F1® 25, the official video game of the 2025 FIA Formula One World Championship™, featuring a revamped My Team mode, the thrilling third chapter of Braking Point, and more!"
Clair Obscur: Expedition 33,"24 Apr, 2025","₹2,980.00",https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/1903340/001d4a5d81e4bb9055b789240e78e04ef6e6da38/capsule_sm_120.jpg?t=1753344076,No description found
Astral Party,"29 Feb, 2024",Free,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/2622000/161770009211fc0558719211d936c39046084b53/capsule_sm_120.jpg?t=1753934637,"Astral Party is a multiplayer party game populated by cute anime girls! Choose your favorite character, strategize skills & cards, and roll the dice to destroy friendships in this unique board game."
